"id","client_name","euros_spent","fidelity_points_earned","purchase_date","number_of_items"
"edd4e92f-6f1a-40cb-a3db-401474ccb110","Faith Luna",24130,12065,"2017-04-13T11:25:47.942Z","1"
"9234942b-c051-4fa0-9c0e-1271cf5716f1","Travis Rose",29360,14680,"2017-02-03T08:12:04.026Z","1"
"7e6f93e2-b7b2-4753-9c6c-25ebbfea87f6","Preston Mendoza",23823,11911,"2017-03-25T14:04:41.545Z","1"
"727da8a1-2f97-4ae8-b2a7-866206e19516","Leonard Lindsey",1702,851,"2017-02-02T13:55:56.488Z","3"
"11161cbf-91c1-4699-b334-7454c976ed72","Sheila Burns",23281,11640,"2017-10-29T16:53:27.003Z","2"
"d913267f-7789-4d11-9651-0192c4c172a0","Jane Frazier",31618,15809,"2017-02-16T07:33:47.402Z","1"
"32b4c4be-3534-42b0-93ef-c8730408b597","Howard Abbott",30704,15352,"2017-05-26T11:49:10.493Z","2"
"562e8b3d-f272-419c-ae27-3844c9d76de7","Geraldine Larson",24541,12270,"2017-05-19T13:01:32.151Z","1"
"ec9b4b68-8a34-4f7d-b4f1-13277c1b6c21","Megan Cain",15591,7795,"2017-04-11T09:24:29.572Z","3"
"99f03f57-7e4e-49f9-9e4e-b0b404780b73","Carlos Parks",38558,19279,"2017-06-05T09:42:36.142Z","1"
"b9534695-b9aa-47ec-ac9f-5bc3507903eb","Anna Hicks",16306,8153,"2017-09-17T15:20:59.201Z","5"
"90e8763e-a4bb-46c1-897a-1194f60b4a1e","Sue Parsons",3104,1552,"2017-02-17T09:34:31.346Z","3"
"d6cd356e-3dac-42e5-a129-ecec65208ce2","Travis Rose",33748,16874,"2017-08-11T10:19:16.878Z","2"
"4ae00826-9dda-4fbc-be2e-8a1e02e4ab7c","Sue Parsons",6779,3389,"2017-12-03T14:46:01.655Z","1"
"4ce71c9d-d0b4-433a-8fa1-a0f8f9c6100b","Pedro Baker",10269,5134,"2017-11-17T13:42:04.763Z","3"
"a6410dc4-e75d-4de0-a0d3-87814b51db1e","Ted Casey",34595,17297,"2017-01-13T15:10:37.401Z","1"
"c776f029-4a37-4a87-a2f5-561292e9350d","Ignacio Dixon",32395,16197,"2017-04-27T07:50:50.089Z","1"
"36595d2f-d688-45a9-bd4e-e09afc890032","Roosevelt Moran",33448,16724,"2017-03-18T16:45:44.653Z","1"
"1637639f-bfd8-4de0-b7a9-738d74f6c3ad","Peggy Nunez",12151,6075,"2017-11-25T07:58:45.325Z","1"
"d43cb210-4b34-4ec6-86c1-82837ea30de0","Peggy Nunez",38456,19228,"2017-04-26T12:19:06.099Z","1"
